node1	node2	node1_string_id	node2_string_id	neighborhood_on_chromosome	gene_fusion	phylogenetic_cooccurrence	homology	coexpression	experimentally_determined_interaction	database_annotated	automated_textmining	combined_score
ARG1	CD4	9606.ENSP00000349446	9606.ENSP00000011653	0	0	0	0	0.068	0.137	0	0.727	0.761
ARG1	ARG2	9606.ENSP00000349446	9606.ENSP00000261783	0	0	0.060	0.960	0.048	0.316	0.900	0.074	0.933
ARG1	HAVCR2	9606.ENSP00000349446	9606.ENSP00000312002	0	0	0	0	0.051	0.137	0	0.686	0.720
ARG1	CD86	9606.ENSP00000349446	9606.ENSP00000332049	0	0	0	0	0.067	0	0	0.740	0.747
ARG1	CHIA	9606.ENSP00000349446	9606.ENSP00000358755	0	0	0	0	0.058	0	0	0.714	0.719
ARG1	IDO2	9606.ENSP00000349446	9606.ENSP00000443432	0	0	0	0	0.105	0	0	0.700	0.720
ARG1	CD8A	9606.ENSP00000349446	9606.ENSP00000386559	0	0	0	0	0	0	0	0.720	0.720
ARG1	CD274	9606.ENSP00000349446	9606.ENSP00000370989	0	0	0	0	0.055	0	0	0.717	0.721
ARG1	IL4R	9606.ENSP00000349446	9606.ENSP00000379111	0	0	0	0	0.059	0	0	0.764	0.769
ARG1	IDO1	9606.ENSP00000349446	9606.ENSP00000430950	0	0	0	0	0.060	0	0	0.770	0.775
ARG1	ITGAM	9606.ENSP00000349446	9606.ENSP00000496959	0	0	0	0	0.083	0	0	0.785	0.795
ARG2	IDO1	9606.ENSP00000261783	9606.ENSP00000430950	0	0	0	0	0.060	0	0	0.702	0.707
ARG2	IGHV3-16	9606.ENSP00000261783	9606.ENSP00000478725	0	0	0	0	0	0.800	0	0	0.800
ARG2	IGHV3-43D	9606.ENSP00000261783	9606.ENSP00000481152	0	0	0	0	0	0.823	0	0	0.823
ARHGEF2	RIPK2	9606.ENSP00000354837	9606.ENSP00000220751	0	0	0	0	0.049	0.063	0.900	0.488	0.948
ARHGEF2	NOD1	9606.ENSP00000354837	9606.ENSP00000222823	0	0	0	0	0.062	0	0.800	0.523	0.902
ATG5	NOD2	9606.ENSP00000358072	9606.ENSP00000300589	0	0	0	0	0	0	0.900	0.689	0.967
ATG5	FADD	9606.ENSP00000358072	9606.ENSP00000301838	0	0	0	0	0.056	0.388	0	0.991	0.994
ATG5	TFEB	9606.ENSP00000358072	9606.ENSP00000351742	0	0	0	0	0	0	0	0.762	0.762
ATG5	TRIM5	9606.ENSP00000358072	9606.ENSP00000369373	0	0	0	0	0.056	0	0	0.712	0.716
ATG5	TLR7	9606.ENSP00000358072	9606.ENSP00000370034	0	0	0	0	0.083	0	0	0.764	0.774
ATG5	OPTN	9606.ENSP00000358072	9606.ENSP00000368022	0	0	0	0	0.061	0.510	0	0.598	0.798
ATG5	NLRX1	9606.ENSP00000358072	9606.ENSP00000387334	0	0	0	0	0.055	0	0	0.903	0.905
ATG5	IFIH1	9606.ENSP00000358072	9606.ENSP00000497271	0	0	0	0	0.049	0.292	0.500	0.961	0.985
ATG5	IRGM	9606.ENSP00000358072	9606.ENSP00000428220	0	0	0	0	0.105	0.292	0	0.988	0.991
ATG5	SQSTM1	9606.ENSP00000358072	9606.ENSP00000374455	0	0	0	0	0	0.387	0.500	0.974	0.991
ATG5	DDX58	9606.ENSP00000358072	9606.ENSP00000369213	0	0	0	0	0.049	0.292	0.900	0.990	0.999
ATG5	MAVS	9606.ENSP00000358072	9606.ENSP00000401980	0	0	0	0	0.044	0.513	0.900	0.982	0.999
AXL	CD209	9606.ENSP00000301178	9606.ENSP00000315477	0	0	0	0	0.074	0.045	0	0.700	0.712
AXL	JAK2	9606.ENSP00000301178	9606.ENSP00000371067	0	0	0	0.583	0	0.051	0.900	0.178	0.915
AXL	SRC	9606.ENSP00000301178	9606.ENSP00000362680	0	0	0	0.691	0.049	0.485	0.900	0.694	0.983
B2M	CD74	9606.ENSP00000497910	9606.ENSP00000009530	0	0	0	0	0.223	0	0.540	0.506	0.808
B2M	CD4	9606.ENSP00000497910	9606.ENSP00000011653	0	0	0	0	0.084	0.125	0	0.719	0.755
B2M	ULBP1	9606.ENSP00000497910	9606.ENSP00000229708	0	0	0	0	0	0.299	0	0.634	0.732
B2M	HLA-DOA	9606.ENSP00000497910	9606.ENSP00000229829	0	0	0	0.759	0.128	0	0.720	0.085	0.757
B2M	KLRK1	9606.ENSP00000497910	9606.ENSP00000240618	0	0	0	0	0.075	0.068	0.400	0.668	0.805
B2M	MICB	9606.ENSP00000497910	9606.ENSP00000252229	0	0	0	0	0.049	0.299	0	0.713	0.791
B2M	HLA-F	9606.ENSP00000497910	9606.ENSP00000259951	0	0	0	0.727	0.634	0.989	0.900	0.701	0.999
B2M	TYROBP	9606.ENSP00000497910	9606.ENSP00000262629	0	0	0	0	0.165	0	0.700	0.302	0.809
B2M	ZAP70	9606.ENSP00000497910	9606.ENSP00000264972	0	0	0	0	0.088	0	0	0.719	0.733
B2M	TAPBPL	9606.ENSP00000497910	9606.ENSP00000266556	0	0	0	0	0.097	0.900	0	0.368	0.937
B2M	CD1A	9606.ENSP00000497910	9606.ENSP00000289429	0	0	0	0.725	0.072	0.981	0.900	0.720	0.999
B2M	CD3D	9606.ENSP00000497910	9606.ENSP00000300692	0	0	0	0	0.121	0.800	0.500	0.277	0.928
B2M	LILRB1	9606.ENSP00000497910	9606.ENSP00000315997	0	0	0	0	0.094	0.978	0.500	0.913	0.999
B2M	TAP1	9606.ENSP00000497910	9606.ENSP00000346206	0	0	0	0	0.403	0.514	0.900	0.531	0.984
B2M	HLA-DRB1	9606.ENSP00000497910	9606.ENSP00000353099	0	0	0	0.768	0.140	0	0.720	0.336	0.826
B2M	CD3E	9606.ENSP00000497910	9606.ENSP00000354566	0	0	0	0	0.163	0.800	0.500	0.322	0.935
B2M	CD247	9606.ENSP00000497910	9606.ENSP00000354782	0	0	0	0	0.138	0.800	0.500	0.773	0.977
B2M	ULBP3	9606.ENSP00000497910	9606.ENSP00000356308	0	0	0	0	0	0.299	0	0.617	0.720
B2M	ULBP2	9606.ENSP00000497910	9606.ENSP00000356320	0	0	0	0	0	0.299	0	0.637	0.734
B2M	CD1E	9606.ENSP00000497910	9606.ENSP00000357149	0	0	0	0	0.067	0.506	0	0.736	0.868
B2M	CD1B	9606.ENSP00000497910	9606.ENSP00000357150	0	0	0	0	0	0.985	0.900	0.924	0.999
B2M	CD1C	9606.ENSP00000497910	9606.ENSP00000357152	0	0	0	0	0.098	0.936	0.900	0.899	0.999
B2M	LCN2	9606.ENSP00000497910	9606.ENSP00000362108	0	0	0	0	0.060	0	0	0.737	0.742
B2M	HLA-DMA	9606.ENSP00000497910	9606.ENSP00000363976	0	0	0	0	0.149	0	0.720	0.377	0.838
B2M	PSMB9	9606.ENSP00000497910	9606.ENSP00000363993	0	0	0	0	0.367	0	0	0.578	0.721
B2M	PSMB8	9606.ENSP00000497910	9606.ENSP00000364016	0	0	0	0	0.389	0	0	0.703	0.811
B2M	TAP2	9606.ENSP00000497910	9606.ENSP00000364032	0	0	0	0	0.155	0.294	0.900	0.418	0.960
B2M	HLA-C	9606.ENSP00000497910	9606.ENSP00000365402	0	0	0	0	0.439	0.990	0.900	0.969	0.999
B2M	HLA-E	9606.ENSP00000497910	9606.ENSP00000365817	0	0	0	0	0.638	0.989	0.900	0.966	0.999
B2M	HLA-G	9606.ENSP00000497910	9606.ENSP00000366024	0	0	0	0	0.267	0.991	0.900	0.758	0.999
B2M	LILRB2	9606.ENSP00000497910	9606.ENSP00000375629	0	0	0	0	0.141	0.982	0.500	0.352	0.994
B2M	HLA-DRA	9606.ENSP00000497910	9606.ENSP00000378786	0	0	0	0.750	0.335	0	0.720	0.457	0.890
B2M	HLA-A	9606.ENSP00000497910	9606.ENSP00000379873	0	0	0	0	0.747	0.995	0.900	0.998	0.999
B2M	CD8A	9606.ENSP00000497910	9606.ENSP00000386559	0	0	0	0	0.092	0.967	0.500	0.888	0.998
B2M	HLA-DPA1	9606.ENSP00000497910	9606.ENSP00000393566	0	0	0	0.809	0.256	0	0.720	0.100	0.796
B2M	HLA-DMB	9606.ENSP00000497910	9606.ENSP00000398890	0	0	0	0.768	0.224	0	0.720	0.092	0.785
B2M	HLA-B	9606.ENSP00000497910	9606.ENSP00000399168	0	0	0	0	0.767	0.995	0.900	0.988	0.999
B2M	HLA-DPB1	9606.ENSP00000497910	9606.ENSP00000408146	0	0	0	0.797	0.167	0	0.720	0.078	0.766
B2M	CD3G	9606.ENSP00000497910	9606.ENSP00000431445	0	0	0	0	0.062	0.800	0.500	0.469	0.943
B2M	MR1	9606.ENSP00000497910	9606.ENSP00000477563	0	0	0	0	0.127	0.969	0.540	0.189	0.988
B2M	LOC102723407	9606.ENSP00000497910	9606.ENSP00000478289	0	0	0	0	0	0.183	0	0.662	0.712
B2M	IGHV3-16	9606.ENSP00000497910	9606.ENSP00000478725	0	0	0	0	0	0.900	0	0	0.900
B2M	IGHV3-43D	9606.ENSP00000497910	9606.ENSP00000481152	0	0	0	0	0	0.829	0	0	0.829
B2M	BTK	9606.ENSP00000497910	9606.ENSP00000483570	0	0	0	0	0.113	0	0.500	0.379	0.700
B2M	TRDV1	9606.ENSP00000497910	9606.ENSP00000484940	0	0	0	0	0	0.914	0	0.149	0.924
B2M	HLA-DOB	9606.ENSP00000497910	9606.ENSP00000496848	0	0	0	0.756	0.149	0	0.720	0.079	0.761
B2M	CD1D	9606.ENSP00000497910	9606.ENSP00000501245	0	0	0	0	0.070	0.974	0.900	0.973	0.999
BAG6	HAVCR2	9606.ENSP00000365131	9606.ENSP00000312002	0	0	0	0	0	0.345	0	0.913	0.941
BAG6	NCR3	9606.ENSP00000365131	9606.ENSP00000342156	0	0	0	0	0	0.781	0	0.982	0.995
BAG6	FYN	9606.ENSP00000365131	9606.ENSP00000346671	0	0	0	0	0.042	0.073	0	0.747	0.755
BCL10	PRKCQ	9606.ENSP00000498104	9606.ENSP00000263125	0	0	0	0	0	0.510	0.500	0.901	0.973
BCL10	CLEC7A	9606.ENSP00000498104	9606.ENSP00000302569	0	0	0	0	0.123	0	0	0.799	0.816
BCL10	CARD9	9606.ENSP00000498104	9606.ENSP00000360797	0	0	0	0	0.082	0.811	0.900	0.998	0.999
BCL10	SYK	9606.ENSP00000498104	9606.ENSP00000364898	0	0	0	0	0.111	0.091	0	0.868	0.884
BCL10	DDX58	9606.ENSP00000498104	9606.ENSP00000369213	0	0	0	0	0.100	0	0	0.893	0.899
BCL10	TRAF6	9606.ENSP00000498104	9606.ENSP00000433623	0	0	0	0	0.118	0.295	0.900	0.994	0.999
BCL10	PRKCB	9606.ENSP00000498104	9606.ENSP00000496129	0	0	0	0	0.105	0	0.500	0.718	0.862
BCL6	CD4	9606.ENSP00000384371	9606.ENSP00000011653	0	0	0	0	0.068	0	0	0.793	0.799
BCL6	CD79A	9606.ENSP00000384371	9606.ENSP00000221972	0	0	0	0	0.063	0	0	0.874	0.876
BCL6	CD19	9606.ENSP00000384371	9606.ENSP00000313419	0	0	0	0	0.049	0	0	0.824	0.826
BCL6	CR2	9606.ENSP00000384371	9606.ENSP00000356024	0	0	0	0	0	0.057	0	0.722	0.726
BCL6	CD40	9606.ENSP00000384371	9606.ENSP00000361359	0	0	0	0	0.044	0	0	0.740	0.741
BCL6	CD79B	9606.ENSP00000384371	9606.ENSP00000376544	0	0	0	0	0.056	0	0	0.724	0.728
BCL6	CD8A	9606.ENSP00000384371	9606.ENSP00000386559	0	0	0	0	0.064	0	0	0.695	0.702
BCL6	LOC102723407	9606.ENSP00000384371	9606.ENSP00000478289	0	0	0	0	0	0	0	0.913	0.913
BPIFA1	LTF	9606.ENSP00000346251	9606.ENSP00000231751	0	0	0	0	0.079	0	0	0.724	0.735
BPIFA1	BPIFB1	9606.ENSP00000346251	9606.ENSP00000253354	0	0.189	0	0.650	0.618	0	0.400	0.447	0.883
BST2	CD4	9606.ENSP00000252593	9606.ENSP00000011653	0	0	0	0	0.062	0	0	0.784	0.788
BST2	IFIT1	9606.ENSP00000252593	9606.ENSP00000360869	0	0	0	0	0.289	0	0	0.607	0.709
BST2	IFIT3	9606.ENSP00000252593	9606.ENSP00000360876	0	0	0	0	0.389	0	0	0.556	0.717
BST2	IFI6	9606.ENSP00000252593	9606.ENSP00000342513	0	0	0	0	0.521	0	0	0.487	0.744
BST2	RSAD2	9606.ENSP00000252593	9606.ENSP00000371471	0	0	0	0	0.292	0	0	0.667	0.754
BST2	IRF7	9606.ENSP00000252593	9606.ENSP00000380697	0	0	0	0	0.452	0	0	0.583	0.761
BST2	OAS2	9606.ENSP00000252593	9606.ENSP00000342278	0	0	0	0	0.502	0	0	0.571	0.777
BST2	OAS1	9606.ENSP00000252593	9606.ENSP00000388001	0	0	0	0	0.496	0	0	0.580	0.779
BST2	DDX58	9606.ENSP00000252593	9606.ENSP00000369213	0	0	0	0	0.310	0	0	0.715	0.795
BST2	MX2	9606.ENSP00000252593	9606.ENSP00000333657	0	0	0	0	0.357	0	0	0.703	0.801
BST2	MX1	9606.ENSP00000252593	9606.ENSP00000381601	0	0	0	0	0.442	0	0	0.663	0.804
BST2	IFITM1	9606.ENSP00000252593	9606.ENSP00000330825	0	0	0	0	0.553	0	0	0.594	0.810
BST2	ISG15	9606.ENSP00000252593	9606.ENSP00000496832	0	0	0	0	0.537	0	0	0.679	0.845
BST2	TRIM5	9606.ENSP00000252593	9606.ENSP00000369373	0	0	0	0	0.120	0	0	0.842	0.855
BST2	SAMHD1	9606.ENSP00000252593	9606.ENSP00000493536	0	0	0	0	0.092	0	0.500	0.791	0.896
BST2	LILRA4	9606.ENSP00000252593	9606.ENSP00000291759	0	0	0	0	0.103	0.405	0	0.993	0.995
BTK	CD79A	9606.ENSP00000483570	9606.ENSP00000221972	0	0	0	0	0.264	0	0.400	0.907	0.955
BTK	TYROBP	9606.ENSP00000483570	9606.ENSP00000262629	0	0	0	0	0.315	0	0.500	0.379	0.768
BTK	ZAP70	9606.ENSP00000483570	9606.ENSP00000264972	0	0	0	0.682	0.160	0	0	0.693	0.731
BTK	FCER1G	9606.ENSP00000483570	9606.ENSP00000289902	0	0	0	0	0.205	0.292	0	0.668	0.797
BTK	TLR8	9606.ENSP00000483570	9606.ENSP00000312082	0	0	0	0	0.323	0.277	0	0.520	0.744
BTK	CD19	9606.ENSP00000483570	9606.ENSP00000313419	0	0	0	0	0.255	0.292	0	0.804	0.887
BTK	NLRP3	9606.ENSP00000483570	9606.ENSP00000337383	0	0	0	0	0.106	0.100	0	0.859	0.876
BTK	FYN	9606.ENSP00000483570	9606.ENSP00000346671	0	0	0.101	0.842	0.090	0.292	0.500	0.640	0.876
BTK	TLR9	9606.ENSP00000483570	9606.ENSP00000353874	0	0	0	0	0.120	0.277	0	0.872	0.911
BTK	IRAK1	9606.ENSP00000483570	9606.ENSP00000358997	0	0	0	0.554	0.079	0.299	0	0.880	0.915
BTK	TLR4	9606.ENSP00000483570	9606.ENSP00000363089	0	0	0	0	0.165	0.277	0	0.743	0.831
BTK	SYK	9606.ENSP00000483570	9606.ENSP00000364898	0	0	0	0.652	0.297	0.292	0.900	0.987	0.999
BTK	HCK	9606.ENSP00000483570	9606.ENSP00000365012	0	0	0.104	0.852	0.321	0.359	0	0.454	0.759
BTK	TNFSF13B	9606.ENSP00000483570	9606.ENSP00000365048	0	0	0	0	0.207	0.092	0	0.717	0.778
BTK	PIK3CD	9606.ENSP00000483570	9606.ENSP00000366563	0	0	0	0	0.112	0.069	0.900	0.770	0.978
BTK	DCLRE1C	9606.ENSP00000483570	9606.ENSP00000367527	0	0	0	0	0.060	0	0	0.734	0.739
BTK	TLR7	9606.ENSP00000483570	9606.ENSP00000370034	0	0	0	0	0.304	0.100	0	0.665	0.772
BTK	TEC	9606.ENSP00000483570	9606.ENSP00000370912	0	0	0.062	0.953	0.099	0.098	0.900	0.069	0.916
BTK	TIRAP	9606.ENSP00000483570	9606.ENSP00000376445	0	0	0	0	0.086	0.292	0	0.812	0.868
BTK	TRAF3	9606.ENSP00000483570	9606.ENSP00000376500	0	0	0	0	0.084	0.090	0.900	0.364	0.939
BTK	CD79B	9606.ENSP00000483570	9606.ENSP00000376544	0	0	0	0	0.280	0	0.400	0.927	0.965
BTK	INPP5D	9606.ENSP00000483570	9606.ENSP00000405338	0	0	0	0	0.230	0.095	0	0.649	0.734
BTK	LYN	9606.ENSP00000483570	9606.ENSP00000428924	0	0	0.098	0.857	0.175	0.292	0.900	0.961	0.997
BTK	TRAF6	9606.ENSP00000483570	9606.ENSP00000433623	0	0	0	0	0.086	0.090	0	0.764	0.786
BTK	LOC102723407	9606.ENSP00000483570	9606.ENSP00000478289	0	0	0	0	0.067	0.102	0	0.722	0.747
BTK	IRAK4	9606.ENSP00000483570	9606.ENSP00000479889	0	0	0	0.592	0.109	0.051	0	0.885	0.894
BTK	PRKCB	9606.ENSP00000483570	9606.ENSP00000496129	0	0	0	0.569	0.216	0.298	0	0.624	0.775
BTK	MYD88	9606.ENSP00000483570	9606.ENSP00000498321	0	0	0	0	0.117	0.331	0	0.975	0.984
BTLA	LAG3	9606.ENSP00000333919	9606.ENSP00000203629	0	0	0	0	0.102	0	0	0.879	0.887
BTLA	IL2	9606.ENSP00000333919	9606.ENSP00000226730	0	0	0	0	0.060	0	0	0.694	0.700
BTLA	HAVCR2	9606.ENSP00000333919	9606.ENSP00000312002	0	0	0	0	0.104	0	0	0.803	0.816
BTLA	CD19	9606.ENSP00000333919	9606.ENSP00000313419	0	0	0	0	0.450	0	0	0.482	0.703
BTLA	CD86	9606.ENSP00000333919	9606.ENSP00000332049	0	0	0	0	0.178	0	0	0.734	0.772
BTLA	LOC102723996	9606.ENSP00000333919	9606.ENSP00000485129	0	0	0	0	0.055	0	0	0.698	0.702
BTLA	CD8A	9606.ENSP00000333919	9606.ENSP00000386559	0	0	0	0	0.140	0	0	0.694	0.725
BTLA	PDCD1LG2	9606.ENSP00000333919	9606.ENSP00000380855	0	0	0	0	0.086	0	0	0.736	0.749
BTLA	LGALS9	9606.ENSP00000333919	9606.ENSP00000378856	0	0	0	0	0.084	0	0	0.831	0.838
BTLA	PDCD1	9606.ENSP00000333919	9606.ENSP00000335062	0	0	0	0	0.137	0	0	0.884	0.895
BTLA	CTLA4	9606.ENSP00000333919	9606.ENSP00000497102	0	0	0	0	0.188	0	0	0.879	0.898
BTLA	CD274	9606.ENSP00000333919	9606.ENSP00000370989	0	0	0	0	0.093	0	0	0.940	0.943
BTLA	CD160	9606.ENSP00000333919	9606.ENSP00000358294	0	0	0	0	0.127	0	0	0.949	0.953
BTLA	VTCN1	9606.ENSP00000333919	9606.ENSP00000358470	0	0	0	0	0	0	0	0.988	0.988
BTLA	TNFRSF14	9606.ENSP00000333919	9606.ENSP00000347948	0	0	0	0	0.115	0.915	0.900	0.999	0.999
BTN3A1	BTN3A3	9606.ENSP00000289361	9606.ENSP00000244519	0	0	0.049	0.982	0.787	0.619	0.400	0.380	0.966
BTN3A1	BTN3A2	9606.ENSP00000289361	9606.ENSP00000366937	0	0	0.050	0.980	0.769	0.934	0.400	0.380	0.993
BTN3A2	BTN3A3	9606.ENSP00000366937	9606.ENSP00000244519	0	0	0.048	0.984	0.776	0.721	0.400	0.052	0.960
BTN3A2	PSMB9	9606.ENSP00000366937	9606.ENSP00000363993	0	0	0	0	0.528	0	0	0.482	0.746
C1QA	C1QBP	9606.ENSP00000363773	9606.ENSP00000225698	0	0	0	0	0.087	0.463	0	0.625	0.800
C1QA	TYROBP	9606.ENSP00000363773	9606.ENSP00000262629	0	0	0	0	0.569	0	0	0.755	0.890
C1QA	SERPING1	9606.ENSP00000363773	9606.ENSP00000278407	0	0	0	0	0.399	0.051	0.900	0.591	0.973
C1QA	CSF1R	9606.ENSP00000363773	9606.ENSP00000286301	0	0	0	0	0.695	0	0	0.706	0.906
C1QA	FCER1G	9606.ENSP00000363773	9606.ENSP00000289902	0	0	0	0	0.475	0	0	0.620	0.792
C1QA	C2	9606.ENSP00000363773	9606.ENSP00000299367	0	0	0	0	0.300	0.051	0.900	0.348	0.950
C1QA	C1QB	9606.ENSP00000363773	9606.ENSP00000313967	0	0	0.104	0.855	0.999	0.980	0.900	0.984	0.999
C1QA	FCN1	9606.ENSP00000363773	9606.ENSP00000360871	0	0	0	0	0.218	0	0.400	0.432	0.710
C1QA	MBL2	9606.ENSP00000363773	9606.ENSP00000363079	0	0	0	0	0.055	0.045	0.400	0.759	0.852
C1QA	C1QC	9606.ENSP00000363773	9606.ENSP00000363770	0	0	0.117	0.819	0.999	0.972	0.900	0.984	0.999
C1QA	ITGAM	9606.ENSP00000363773	9606.ENSP00000496959	0	0	0	0	0.219	0	0	0.636	0.703
C1QA	COLEC11	9606.ENSP00000363773	9606.ENSP00000411770	0	0	0.479	0	0.060	0.045	0.400	0.322	0.775
C1QA	CFB	9606.ENSP00000363773	9606.ENSP00000416561	0	0	0	0	0.073	0.051	0	0.786	0.795
C1QA	LOC102723407	9606.ENSP00000363773	9606.ENSP00000478289	0	0	0	0	0	0	0.900	0.125	0.908
C1QA	VSIG4	9606.ENSP00000363773	9606.ENSP00000363869	0	0	0	0	0.930	0	0	0.613	0.971
C1QA	C4B	9606.ENSP00000363773	9606.ENSP00000415941	0	0	0	0	0.171	0	0.900	0.690	0.972
C1QA	C4A	9606.ENSP00000363773	9606.ENSP00000396688	0	0	0	0	0.171	0	0.900	0.822	0.983
C1QA	C1R	9606.ENSP00000363773	9606.ENSP00000444271	0	0	0	0	0.162	0.299	0.900	0.820	0.988
C1QA	C1S	9606.ENSP00000363773	9606.ENSP00000385035	0	0	0	0	0.240	0.299	0.900	0.844	0.990
C1QB	C1QBP	9606.ENSP00000313967	9606.ENSP00000225698	0	0	0	0	0.042	0.463	0	0.558	0.752
C1QB	TYROBP	9606.ENSP00000313967	9606.ENSP00000262629	0	0	0	0	0.544	0	0	0.689	0.852
